AnonRef,Gender, Standard TV , Increase offered , Total Enhanced TV Offer ,Enhancement %, Age at offer ,NUTS3, TP Liability , Buyout Liability , Accounting Liability , Retirement Quote ,Month of Offer,B.6g Gross Disposable Income,Acceptances Received
ANON1552,M,139099,38101,177200,27,50.25,UKK13,204093,250471,158757,4980,February ,18606.27734,N
ANON1553,F,46113,13834,59947,30,55.17,UKJ25,63616,73094,51611,1488,February ,24442.50781,Y
ANON1554,M,19387,1939,21326,10,39.83,UKM26,34158,51090,23462,843,February ,15572.55469,N
ANON1555,M,25458,6342,31800,25,48.33,UKH15,39714,52063,29630,1010,February ,15890.23828,N
ANON1556,M,98638,22862,121500,23,47.58,UKH15,153872,201722,114801,3915,February ,15890.23828,N
ANON1557,F,38440,3844,42284,10,39.33,UKM28,67727,101299,46520,1671,February ,15234.23828,N
ANON1558,M,337885,101366,439251,30,55,UKM38,466139,535581,378171,10901,February ,16095.20703,Y
ANON1559,M,15880,1588,17468,10,40.92,UKM26,26330,36871,18847,659,February ,15572.55469,N
ANON1560,F,33031,3303,36334,10,43.42,UKM22,54768,76694,39202,1372,February ,15506.49609,N
ANON1561,F,94850,28455,123305,30,56.67,UKH15,130853,150347,106159,3060,February ,15890.23828,N
ANON1562,M,53958,16187,70145,30,50.67,UKM38,79170,97161,61583,1932,February ,16095.20703,N
ANON1563,M,200368,60110,260478,30,55.83,UKH23,276423,317603,224258,6464,February ,21475.61328,N
ANON1564,M,15851,1585,17436,10,43.33,UKM36,26282,36804,18812,658,February ,14616.55078,N
ANON1565,F,17707,3693,21400,21,49.58,UKE42,27622,36212,20608,703,February ,15588.34375,N
ANON1566,M,23853,4547,28400,19,45.08,UKH15,37210,48781,27762,947,February ,15890.23828,N
ANON1567,M,25454,2545,27999,10,40,UKM38,42204,59101,30209,1057,February ,16095.20703,N
ANON1568,M,82803,9197,92000,11,43.25,UKM36,137293,192258,98272,3439,February ,14616.55078,N
ANON1569,M,160680,48204,208884,30,54.17,UKM31,235758,289332,183387,5753,February ,17751.28516,N
ANON1570,M,50965,11835,62800,23,47.5,UKM35,79504,104227,59316,2023,February ,17252.75,N
ANON1571,M,343354,103006,446360,30,52.42,UKH15,503787,618267,391877,12293,February ,15890.23828,N
ANON1572,M,48306,14492,62798,30,57.92,UKM36,66642,76570,54066,1558,February ,14616.55078,Y
ANON1573,M,18157,1816,19973,10,36.08,UKE41,31991,47848,21973,789,February ,13293.09375,Y
ANON1574,M,386560,98740,485300,26,50.42,UKM31,567181,696067,441189,13840,February ,17751.28516,N
ANON1575,F,13703,1370,15073,10,48.67,UKH15,21376,28024,15948,544,February ,15890.23828,N
ANON1576,F,41774,12532,54306,30,54.75,UKM33,61293,75221,47678,1496,February ,14867.0625,N
ANON1577,M,70116,16284,86400,23,47.58,UKH15,109378,143392,81605,2783,February ,15890.23828,N
ANON1578,M,54273,11227,65500,21,46.08,UKH15,84664,110992,63166,2154,February ,15890.23828,N
ANON1579,M,197505,59252,256757,30,57.67,UKK12,272474,313065,221054,6372,February ,18320.59766,N
ANON1580,M,20989,2099,23088,10,41.25,UKM22,34801,48734,24910,872,February ,15506.49609,N
ANON1581,M,23919,5081,29000,21,46.17,UKH15,37313,48916,27838,949,February ,15890.23828,N
ANON1582,M,30798,6802,37600,22,47.75,UKM36,48044,62984,35845,1222,February ,14616.55078,N
ANON1583,M,39750,11925,51675,30,51.83,UKM22,58323,71577,45368,1423,February ,15506.49609,Y
ANON1584,M,24975,2625,27600,11,44.58,UKC21,41410,57989,29641,1037,February ,17370.44531,Y
ANON1585,M,57558,5756,63314,10,41.67,UKM38,95435,133643,68311,2390,February ,16095.20703,N
ANON1586,,71387,15913,87300,22,47,UKM38,111361,145992,83084,2833,February ,16095.20703,Y
ANON1587,M,30314,3031,33345,10,39,UKM31,53410,79885,36686,1318,February ,17751.28516,N
ANON1588,M,53295,13405,66700,25,48.25,UKM36,83138,108992,62028,2115,February ,14616.55078,Y
ANON1589,F,38211,3821,42032,10,43.83,UKM28,63356,88721,45349,1587,February ,15234.23828,N
ANON1590,F,56641,16992,73633,30,55.58,UKM28,78141,89782,63394,1827,February ,15234.23828,N
ANON1591,F,39014,11486,50500,29,51.17,UKM38,57243,70251,44527,1397,February ,16095.20703,N
ANON1592,M,95721,28579,124300,30,49.75,UKK12,149321,195756,111406,3799,February ,18320.59766,N
ANON1593,M,313466,91734,405200,29,52.67,UKM35,459933,564449,357765,11223,February ,17252.75,Y
ANON1594,M,26393,5307,31700,20,43.75,UKM25,43761,61281,31324,1096,February ,19768.77734,N
ANON1595,M,58848,12052,70900,20,46.42,UKM35,91801,120348,68491,2336,February ,17252.75,N
ANON1596,F,13773,1377,15150,10,45.67,UKM38,21485,28167,16030,547,February ,16095.20703,N
ANON1597,M,32481,7819,40300,24,44.75,UKL22,53856,75417,38549,1349,February ,16083.88281,Y
ANON1598,M,119362,35809,155171,30,59.75,UKM38,164669,189201,133594,3851,February ,16095.20703,N
ANON1599,M,30471,3047,33518,10,41.08,UKM34,50523,70750,36163,1265,February ,14593.86719,N
ANON1600,M,131729,39519,171248,30,54.58,UKM36,193280,237200,150345,4716,February ,14616.55078,Y
ANON1601,M,13473,1347,14820,10,41.08,UKJ45,22339,31283,15990,560,February ,18066.86719,N
ANON1602,M,149157,44747,193904,30,54.5,UKM38,218851,268583,170236,5340,February ,16095.20703,Y
ANON1603,F,39044,3904,42948,10,42.75,UKM38,64737,90655,46338,1621,February ,16095.20703,N
ANON1604,F,43051,4305,47356,10,40.17,UKH15,71381,99959,51094,1788,February ,15890.23828,N
ANON1605,F,29499,4401,33900,15,45.17,UKM38,46017,60328,34333,1171,February ,16095.20703,N
ANON1606,M,93182,27955,121137,30,54.92,UKM38,136721,167790,106351,3336,February ,16095.20703,N
ANON1607,M,13505,1351,14856,10,42,UKM34,22392,31357,16028,561,February ,14593.86719,N
ANON1608,M,22096,6629,28725,30,50.67,UKM36,32420,39788,25219,791,February ,14616.55078,N
ANON1609,F,53462,14438,67900,27,50.17,UKM36,78442,96267,61017,1914,February ,14616.55078,N
ANON1610,M,60210,15090,75300,25,48.58,UKM38,93925,123134,70076,2390,February ,16095.20703,N
ANON1611,M,38454,7446,45900,19,45.42,UKM38,59987,78641,44755,1526,February ,16095.20703,N
ANON1612,M,157108,42292,199400,27,49.83,UKM31,245083,321297,182852,6236,February ,17751.28516,N
ANON1613,F,134083,40225,174308,30,54.83,UKM38,196734,241439,153032,4801,February ,16095.20703,N
ANON1614,F,8306,2492,10798,30,52.25,UKM38,12187,14956,9480,297,February ,16095.20703,N
ANON1615,F,17839,3661,21500,21,48.75,UKM36,27828,36482,20762,708,February ,14616.55078,N
ANON1616,M,27920,2792,30712,10,38.67,UKM33,49192,73576,33789,1214,February ,14867.0625,N
ANON1617,M,13826,1383,15209,10,35.08,UKH15,24360,36435,16732,601,February ,15890.23828,N
ANON1618,F,45715,5885,51600,13,45.08,UKM28,71314,93491,53206,1814,February ,15234.23828,N
ANON1619,M,66545,19964,86509,30,55.25,UKM34,91804,105480,74479,2147,February ,14593.86719,N
ANON1620,F,18772,4128,22900,22,48.83,UKM38,29284,38390,21848,745,February ,16095.20703,N
ANON1621,M,51909,15573,67482,30,51.58,UKM36,76164,93471,59245,1858,February ,14616.55078,N
ANON1622,M,29958,7142,37100,24,47.33,UKM38,46733,61266,34867,1189,February ,16095.20703,N
ANON1623,M,43356,8444,51800,19,46.75,UKM24,67634,88666,50460,1721,February ,17445.37891,N
ANON1624,M,62698,12502,75200,20,46.58,UKM38,97807,128222,72972,2489,February ,16095.20703,N
ANON1625,M,74057,8743,82800,12,43.75,UKM31,122791,171951,87892,3076,February ,17751.28516,N
ANON1626,M,20876,5124,26000,25,49.08,UKM36,32566,42693,24297,829,February ,14616.55078,N
ANON1627,F,264512,69088,333600,26,51.67,UKM31,388106,476299,301893,9470,February ,17751.28516,Y
ANON1628,M,60508,7192,67700,12,44,UKM38,100326,140492,71812,2513,February ,16095.20703,N
ANON1629,M,18868,5660,24528,30,54.17,UKH15,27684,33975,21534,676,February ,15890.23828,Y
ANON1630,M,15551,1555,17106,10,48,UKH15,24259,31803,18099,617,February ,15890.23828,N
ANON1631,F,42259,11041,53300,26,50.25,UKM24,62005,76095,48231,1513,February ,17445.37891,N
ANON1632,M,41443,8757,50200,21,47.5,UKM28,64650,84754,48234,1645,February ,15234.23828,N
ANON1633,M,23257,5043,28300,22,47.75,UKM36,36280,47562,27068,923,March,14616.55078,N
ANON1634,F,42936,7064,50000,16,45.83,UKM26,66979,87807,49971,1704,February ,15572.55469,N
ANON1635,M,72428,21728,94156,30,52.67,UKM38,106270,130419,82664,2593,February ,16095.20703,N
ANON1636,F,42459,12738,55197,30,53.92,UKM38,62298,76455,48459,1520,February ,16095.20703,Y
ANON1637,F,36294,3629,39923,10,44.67,UKC14,60178,84270,43074,1507,February ,14424.09375,N
ANON1638,F,20599,2060,22659,10,53.67,UKM38,30224,37092,23510,738,February ,16095.20703,N
ANON1639,M,10961,1096,12057,10,38.5,UKM24,19312,28885,13265,476,February ,17445.37891,N
ANON1640,M,35392,8708,44100,25,48.25,UKM34,55210,72379,41191,1405,February ,14593.86719,N
ANON1641,M,34266,3427,37693,10,36.75,UKM33,60373,90300,41468,1490,February ,14867.0625,N
ANON1642,F,94389,21011,115400,22,49.33,UKM25,147243,193032,109855,3746,February ,19768.77734,N
ANON1643,M,34285,6915,41200,20,46.67,UKM36,53483,70115,39903,1361,February ,14616.55078,N
ANON1644,F,19094,4906,24000,26,49.92,UKH15,29786,39049,22223,758,February ,15890.23828,N
ANON1645,F,14314,1431,15745,10,42.58,UKM22,23734,33235,16988,594,February ,15506.49609,N
ANON1646,F,63698,18202,81900,29,52.08,UKH15,93461,114699,72700,2281,February ,15890.23828,N
ANON1647,M,30716,3072,33788,10,38,UKM34,54118,80945,37172,1335,February ,14593.86719,N
ANON1648,F,35232,3523,38755,10,42.33,UKM38,58417,81804,41814,1463,February ,16095.20703,Y
ANON1649,M,48153,10147,58300,21,45.25,UKM22,75117,98476,56043,1911,February ,15506.49609,N
ANON1651,M,33428,3343,36771,10,39.42,UKM38,58896,88091,40454,1453,February ,16095.20703,N
ANON1652,F,27127,2713,29840,10,43.75,UKM36,44978,62986,32195,1127,February ,14616.55078,N
ANON1653,F,45518,8482,54000,19,47,UKM36,71006,93088,52977,1807,February ,14616.55078,N
ANON1654,F,59571,17871,77442,30,52.42,UKM38,87406,107268,67990,2133,February ,16095.20703,N
ANON1655,M,6029,603,6632,10,38.17,UKM22,10622,15888,7296,262,February ,15506.49609,N
ANON1656,F,16813,3687,20500,22,48.67,UKM34,26228,34384,19568,667,February ,14593.86719,N
ANON1658,M,42989,12897,55886,30,53.08,UKM33,63076,77409,49064,1539,February ,14867.0625,N
ANON1659,M,35705,7895,43600,22,46.83,UKM38,55698,73019,41556,1417,February ,16095.20703,N
ANON1660,F,6612,1984,8596,30,54,UKM38,9701,11906,7546,237,February ,16095.20703,N
ANON1661,M,51505,15452,66957,30,53.67,UKM37,75571,92744,58784,1844,February ,17301.26563,N
ANON1662,F,32490,9747,42237,30,54.08,UKM38,47671,58504,37082,1163,February ,16095.20703,N
ANON1663,M,53644,5364,59008,10,40.17,UKM35,88945,124555,63666,2228,February ,17252.75,N
ANON1664,M,62748,6275,69023,10,41.42,UKM34,104040,145693,74470,2606,February ,14593.86719,N
ANON1665,M,29682,2968,32650,10,44.17,UKM36,49215,68918,35227,1233,February ,14616.55078,N
ANON1666,M,26953,4947,31900,18,43.58,UKM38,44690,62582,31988,1119,February ,16095.20703,N
ANON1667,M,58279,17484,75763,30,51.17,UKM38,85510,104941,66515,2087,February ,16095.20703,N
ANON1668,M,14253,1425,15678,10,42.92,UKM22,23632,33094,16916,592,February ,15506.49609,N
ANON1669,F,51832,15550,67382,30,56.92,UKM24,71506,82159,58012,1672,February ,17445.37891,N
ANON1670,M,9843,984,10827,10,50.08,UKM23,14442,17724,11234,352,February ,18452.5,N
ANON1671,F,8839,884,9723,10,38.92,UKM36,15573,23293,10697,384,February ,14616.55078,N
ANON1672,M,190099,57030,247129,30,51.33,UKM38,278923,342306,216964,6806,February ,16095.20703,Y
ANON1673,M,72320,7880,80200,11,43.58,UKM38,119911,167918,85831,3003,February ,16095.20703,N
ANON1674,F,59822,15778,75600,26,50.5,UKM38,87774,107720,68276,2142,February ,16095.20703,N
ANON1675,F,15039,1504,16543,10,38.08,UKM36,26497,39632,18200,654,February ,14616.55078,N
ANON1676,M,321022,96307,417329,30,60,UKM38,416344,447859,352334,10185,February ,16095.20703,Y
ANON1677,F,14195,1420,15615,10,40.83,UKM36,23536,32959,16847,590,February ,14616.55078,N
ANON1678,M,37490,5210,42700,14,44.17,UKM36,62161,87047,44494,1557,February ,14616.55078,N
ANON1679,F,71928,21578,93506,30,56.17,UKH15,99230,114013,80504,2320,February ,15890.23828,N
ANON1680,M,37620,3762,41382,10,44.17,UKM36,62376,87349,44648,1562,February ,14616.55078,N
ANON1681,M,106978,32093,139071,30,59,UKM38,147584,169571,119733,3451,February ,16095.20703,Y
ANON1682,M,17162,1716,18878,10,39.92,UKM28,30238,45226,20769,746,February ,15234.23828,N
ANON1683,M,52769,15831,68600,30,54.08,UKM36,77425,95020,60226,1889,February ,14616.55078,N
ANON1684,M,29852,2985,32837,10,44.42,UKM38,49497,69313,35429,1240,February ,16095.20703,N
ANON1685,F,42805,4281,47086,10,41.92,UKM38,70973,99388,50802,1778,February ,16095.20703,N
ANON1686,M,270501,81150,351651,30,57.33,UKM38,373177,428771,302753,8727,February ,16095.20703,Y
ANON1687,M,29824,8976,38800,30,51.33,UKM34,43759,53703,34039,1068,February ,14593.86719,N
ANON1688,M,14867,1487,16354,10,43,UKM36,24650,34519,17644,617,February ,14616.55078,N
ANON1689,F,26233,5767,32000,22,48.17,UKM38,40923,53648,30532,1041,February ,16095.20703,Y
ANON1690,M,24660,2466,27126,10,51.75,UKM26,36182,44405,28145,883,February ,15572.55469,N
ANON1692,M,9068,907,9975,10,37,UKM26,15977,23897,10974,394,February ,15572.55469,N
ANON1693,M,44083,10317,54400,23,47.33,UKM28,68768,90153,51306,1750,February ,15234.23828,N
ANON1694,F,19002,1900,20902,10,41.42,UKM28,31507,44120,22552,789,February ,15234.23828,N
ANON1695,F,18383,2817,21200,15,46.33,UKM38,28677,37595,21395,730,February ,16095.20703,N
ANON1696,M,20963,2096,23059,10,42.5,UKM36,34758,48673,24879,871,February ,14616.55078,N
ANON1697,F,58552,10748,69300,18,46.92,UKM26,91339,119743,68146,2324,February ,15572.55469,N
ANON1698,F,49935,8565,58500,17,46.92,UKM28,77897,102121,58117,1982,February ,15234.23828,N
ANON1699,M,20742,4658,25400,22,48,UKM28,32357,42419,24141,823,February ,15234.23828,N
ANON1700,F,49671,8029,57700,16,45.33,UKM24,77485,101581,57810,1972,February ,17445.37891,N
ANON1701,M,213127,62173,275300,29,48.08,UKH15,332470,435860,248050,8459,February ,15890.23828,N
ANON1702,M,195831,58749,254580,30,57.33,UKM36,270164,310412,219180,6318,February ,14616.55078,N
ANON1703,M,463246,137154,600400,30,51.83,UKM28,679698,834153,528712,16586,February ,15234.23828,N
ANON1704,M,34880,5520,40400,16,41.92,UKM38,57833,80987,41396,1449,February ,16095.20703,N
ANON1705,M,59477,17843,77320,30,52.33,UKM36,87268,107098,67882,2129,February ,14616.55078,N
ANON1706,M,53634,16090,69724,30,57.42,UKM24,73992,85015,60029,1730,February ,17445.37891,N
ANON1707,F,14882,3318,18200,22,48.75,UKM36,23215,30435,17321,591,February ,14616.55078,N
ANON1708,M,60306,18092,78398,30,57.17,UKH15,83197,95591,67496,1946,February ,15890.23828,Y
ANON1709,M,11636,3491,15127,30,54.83,UKM36,17073,20953,13280,417,February ,14616.55078,Y
ANON1710,F,112660,25340,138000,22,49.17,UKH15,175745,230398,131120,4472,February ,15890.23828,N
ANON1711,M,54124,11776,65900,22,47,UKM38,84431,110688,62993,2148,February ,16095.20703,N
ANON1712,F,22759,2341,25100,10,44.33,UKH15,37736,52844,27011,945,February ,15890.23828,N
ANON1713,M,246359,73908,320267,30,55.08,UKM34,339871,390503,275732,7948,February ,14593.86719,N
ANON1714,M,116644,32956,149600,28,50.17,UKM38,171146,210037,133128,4176,February ,16095.20703,Y
ANON1715,M,21162,2116,23278,10,36.75,UKM22,37285,55767,25610,920,February ,15506.49609,N
ANON1716,M,179200,53760,232960,30,54.33,UKM36,262931,322680,204525,6416,February ,14616.55078,N
ANON1717,M,57193,17158,74351,30,55.33,UKH15,78902,90657,64012,1845,February ,15890.23828,Y
ANON1718,F,11182,1118,12300,10,47.33,UKM36,17444,22868,13014,444,February ,14616.55078,N
ANON1719,M,42102,10798,52900,26,48.42,UKM22,65678,86102,49001,1671,February ,15506.49609,N
ANON1720,F,26648,5052,31700,19,47.42,UKM36,41570,54497,31015,1058,February ,14616.55078,N
ANON1721,F,28149,4251,32400,15,46.33,UKM35,43911,57567,32761,1117,February ,17252.75,N
ANON1722,M,11430,3429,14859,30,58.83,UKM36,15769,18118,12793,369,February ,14616.55078,N
ANON1723,M,50017,5683,55700,11,44.25,UKM38,82931,116133,59361,2077,February ,16095.20703,Y
ANON1724,F,21019,6306,27325,30,54.25,UKM38,30840,37848,23989,753,February ,16095.20703,N
ANON1725,M,48343,11357,59700,23,47.17,UKM38,75413,98865,56264,1919,February ,16095.20703,N
ANON1726,M,315686,94706,410392,30,57.5,UKM38,435513,500394,353325,10184,February ,16095.20703,N
ANON1727,M,153617,34783,188400,23,49.17,UKM34,239637,314158,178789,6097,February ,14593.86719,Y
ANON1728,M,161812,48544,210356,30,53.83,UKM21,237419,291370,184679,5793,February ,15199.39063,Y
ANON1729,F,28086,5714,33800,20,48.33,UKM31,43813,57438,32688,1115,February ,17751.28516,N
ANON1730,F,45615,13685,59300,30,54.17,UKM36,66929,82138,52061,1633,February ,14616.55078,Y
ANON1731,M,51330,11070,62400,22,45.25,UKM36,80073,104974,59741,2037,February ,14616.55078,N
ANON1732,M,52617,15785,68402,30,50.5,UKH15,77202,94746,60053,1884,February ,15890.23828,N
ANON1733,M,64863,11337,76200,17,45.17,UKM22,101184,132650,75491,2574,February ,15506.49609,N
ANON1734,F,53749,16125,69874,30,55.17,UKM38,74151,85198,60158,1734,February ,16095.20703,Y
ANON1735,M,81419,9281,90700,11,43.92,UKM35,134998,189045,96629,3381,February ,17252.75,Y
ANON1736,M,34306,6394,40700,19,44.92,UKM36,56882,79654,40715,1425,November,14616.55078,N
ANON1737,M,32240,9672,41912,30,52.67,UKM36,47304,58054,36796,1154,February ,14616.55078,N
ANON1738,M,19940,4060,24000,20,47,UKM26,31106,40779,23207,791,February ,15572.55469,N
ANON1739,M,55959,13741,69700,25,48.25,UKM38,87294,114440,65128,2221,February ,16095.20703,Y
ANON1740,M,54820,16446,71266,30,51.67,UKH15,80435,98713,62567,1963,February ,15890.23828,Y
ANON1741,M,39313,6387,45700,16,43.92,UKM28,65183,91280,46657,1633,February ,15234.23828,N
ANON1742,M,55509,16653,72162,30,51.75,UKM38,81446,99953,63354,1987,February ,16095.20703,N
ANON1743,M,26853,6747,33600,25,46.58,UKM34,41890,54916,31253,1066,February ,14593.86719,Y
ANON1744,M,26098,6402,32500,25,49,UKM38,40712,53372,30374,1036,February ,16095.20703,N
ANON1745,M,190202,50598,240800,27,50,UKM34,279074,342491,217081,6810,February ,14593.86719,N
ANON1746,M,18726,2274,21000,12,43.75,UKM24,31049,43479,22224,778,February ,17445.37891,N
ANON1747,M,15888,4766,20654,30,55.25,UKM38,21919,25184,17782,513,February ,16095.20703,N
ANON1748,F,44842,8158,53000,18,46.75,UKM38,69952,91705,52190,1780,February ,16095.20703,N
ANON1749,M,11509,1151,12660,10,39.25,UKM34,20278,30329,13928,500,February ,14593.86719,N
ANON1750,M,138448,33452,171900,24,49,UKM38,215974,283136,161134,5495,February ,16095.20703,N
ANON1751,F,27646,8294,35940,30,57.08,UKM36,38140,43822,30942,892,February ,14616.55078,N
ANON1752,F,26306,2631,28937,10,45.75,UKM25,41036,53798,30616,1044,February ,19768.77734,N
ANON1753,F,48987,14696,63683,30,52.25,UKM38,71876,88209,55910,1754,February ,16095.20703,N
ANON1754,M,90346,27104,117450,30,56.5,UKM34,124639,143207,101118,2915,February ,14593.86719,N
ANON1755,M,240182,72055,312237,30,58.33,UKM50,331350,380712,268819,7749,February ,19748.82813,N
ANON1756,M,6985,699,7684,10,37.08,UKM25,12307,18407,8453,304,February ,19768.77734,N
ANON1757,M,23913,7174,31087,30,53.75,UKM36,35086,43059,27292,856,February ,14616.55078,N
ANON1758,F,50050,15015,65065,30,54.92,UKM38,73436,90124,57123,1792,February ,16095.20703,Y
ANON1759,M,43767,9233,53000,21,45.92,UKM25,68275,89507,50939,1737,February ,19768.77734,N
ANON1760,M,152575,35025,187600,23,48.25,UKM35,238011,312027,177576,6056,February ,17252.75,Y
ANON1761,M,195026,58508,253534,30,59.25,UKM34,269054,309136,218279,6292,February ,14593.86719,N
ANON1762,M,53198,15959,69157,30,51.42,UKM28,78055,95792,60716,1905,February ,15234.23828,Y
ANON1763,M,33901,10199,44100,30,49.75,UKM36,52884,69330,39456,1346,February ,14616.55078,N
ANON1764,F,9734,973,10707,10,37.83,UKM38,17150,25652,11780,423,February ,16095.20703,N
ANON1765,F,55132,14068,69200,26,50.83,UKH15,80893,99275,62923,1974,February ,15890.23828,Y
ANON1766,M,47476,14243,61719,30,55.33,UKM22,65497,75254,53137,1532,February ,15506.49609,N
ANON1767,M,92499,27750,120249,30,52.08,UKM38,135719,166560,105571,3312,February ,16095.20703,N
ANON1768,M,48759,6541,55300,13,44.42,UKM36,80846,113212,57868,2025,February ,14616.55078,N
ANON1769,M,120856,36257,157113,30,52.75,UKM38,177326,217622,137935,4327,February ,16095.20703,N
ANON1770,M,44124,4412,48536,10,39.75,UKM28,77742,116278,53398,1918,February ,15234.23828,N
ANON1771,F,71643,21493,93136,30,57.08,UKM28,98837,113561,80185,2311,February ,15234.23828,Y
ANON1772,M,36276,3628,39904,10,42.25,UKM36,60148,84228,43053,1507,February ,14616.55078,N
ANON1773,M,58744,17623,76367,30,58.58,UKM28,81042,93115,65748,1895,February ,15234.23828,N
ANON1774,M,29992,8998,38990,30,52.33,UKM27,44006,54006,34230,1074,February ,18548.74219,N
ANON1775,M,41798,10902,52700,26,48.25,UKM26,65203,85480,48647,1659,February ,15572.55469,N
