AnonRef,Gender, Standard TV , Increase offered , Total Enhanced TV Offer ,Enhancement %, Age at offer ,NUTS3, TP Liability , Buyout Liability , Accounting Liability , Retirement Quote ,Month of Offer,B.6g Gross Disposable Income,Acceptances Received
ANON5676,M,379599,37960,417559,10,47.58,UKH15,592160,776308,441800,15067,November,15890.23828,N
ANON5677,M,293556,29356,322912,10,44.92,UKK12,486735,681601,348397,12191,November,18320.59766,N
ANON5678,F,315320,72780,388100,23,53.42,UKE13,462654,567787,359881,11289,November,14397.37109,N
ANON5679,M,439112,118388,557500,27,52,UKH15,644288,790696,501168,15721,November,15890.23828,Y
ANON5681,M,68628,6863,75491,10,45.17,UKH15,107057,140349,79873,2724,November,15890.23828,N
ANON5682,M,141373,42412,183785,30,54,UKM28,207430,254566,161352,5062,November,15234.23828,N
ANON5683,M,98174,16226,114400,17,57.75,UKH15,135439,155616,109879,3167,November,15890.23828,N
ANON5684,M,25931,5069,31000,20,57.75,UKH15,35774,41103,29023,837,November,15890.23828,N
ANON5685,M,110548,11055,121603,10,41.42,UKJ37,183296,256679,131200,4591,November,19265.12109,N
ANON5686,F,244583,24458,269041,10,48,UKH15,381540,500190,284660,9708,November,15890.23828,Y
ANON5687,M,484897,48490,533387,10,49.58,UKK12,756421,991650,564352,19246,November,18320.59766,N
ANON5688,M,118668,25132,143800,21,47.83,UKH23,185118,242685,138113,4710,November,21475.61328,N
ANON5689,M,91407,27422,118829,30,53.25,UKM22,134117,164594,104325,3273,November,15506.49609,N
ANON5690,F,86221,8622,94843,10,55.33,UKH15,118949,136669,96501,2782,November,15890.23828,N
ANON5691,M,145000,14500,159500,10,38.25,UKH15,255474,382112,175478,6303,November,15890.23828,N
ANON5692,F,31681,3168,34849,10,39.17,UKH15,55818,83488,38340,1377,November,15890.23828,Y
ANON5693,M,298158,42942,341100,14,50.33,UKH15,437473,536884,340294,10675,November,15890.23828,N
ANON5694,M,114657,31543,146200,28,52.08,UKK11,168231,206459,130860,4105,November,16212.61719,N
ANON5695,M,21553,2155,23708,10,35.42,UKM35,37974,56798,26083,937,November,17252.75,N
ANON5696,M,90408,27122,117530,30,54.58,UKM25,132651,162795,103185,3237,November,19768.77734,N
